rank,channel_info,influence_score,posts,followers,avg_likes,60_day_eng_rate,new_post_avg_like,total_likes,country,likes_to_followers_ratio,engagement_score,activity_level,follower_tier,engagement_level,post_per_million_followers,influence_per_post,country_rank
15,jlo,89,3200.0,220400000.0,1700000.0,0.62,1400000.0,5300000000.0,United States,0.007713248638838476,55.18,Medium,Mega (100M+),Low,14.519056261343012,0.0278125,12.0
16,virat.kohli,87,1400.0,211800000.0,3500000.0,0.96,2000000.0,4900000000.0,Not Provided,0.016525023607176583,83.52,Medium,Mega (100M+),Low,6.610009442870632,0.062142857142857146,2.0
17,nickiminaj,90,6400.0,201600000.0,2100000.0,0.53,1000000.0,13500000000.0,United States,0.010416666666666666,47.7,High,Mega (100M+),Low,31.746031746031743,0.0140625,13.0
18,kourtneykardash,89,4400.0,195200000.0,1800000.0,0.67,1300000.0,7700000000.0,United States,0.009221311475409836,59.63,High,Mega (100M+),Low,22.540983606557376,0.020227272727272726,14.0
19,mileycyrus,89,1200.0,181500000.0,1300000.0,0.51,913600.0,1600000000.0,Not Provided,0.007162534435261708,45.39,Low,Mega (100M+),Low,6.611570247933884,0.07416666666666667,3.0
20,neymarjr,90,5300.0,177100000.0,2700000.0,1.09,1900000.0,14100000000.0,Brazil,0.015245623941276116,98.10000000000001,High,Mega (100M+),Medium,29.92659514398645,0.016981132075471698,1.0
21,katyperry,92,2000.0,170300000.0,715000.0,0.16,265100.0,1500000000.0,Not Provided,0.004198473282442748,14.72,Medium,Mega (100M+),Low,11.743981209630064,0.046,4.0
22,kevinhart4real,88,8200.0,152000000.0,522000.0,0.08,115200.0,4300000000.0,United States,0.0034342105263157896,7.04,High,Mega (100M+),Low,53.94736842105264,0.010731707317073172,15.0
23,zendaya,87,3500.0,150700000.0,5800000.0,3.17,4800000.0,20600000000.0,United States,0.038487060384870604,275.79,Medium,Mega (100M+),High,23.224950232249505,0.024857142857142855,16.0
24,iamcardib,75,1600.0,140500000.0,3100000.0,1.1,1500000.0,5000000000.0,United States,0.02206405693950178,82.5,Medium,Mega (100M+),Medium,11.387900355871885,0.046875,17.0
25,ddlovato,88,80.0,139100000.0,1100000.0,0.27,363400.0,91300000.0,United States,0.007907979870596693,23.76,Low,Mega (100M+),Low,0.5751258087706687,1.1,18.0
26,badgalriri,88,4800.0,135300000.0,3700000.0,0.02,0.0,17900000000.0,United States,0.027346637102734665,1.76,High,Mega (100M+),Low,35.47671840354767,0.018333333333333333,19.0
27,kingjames,86,2300.0,130900000.0,2100000.0,0.92,1200000.0,4900000000.0,Not Provided,0.016042780748663103,79.12,Medium,Mega (100M+),Low,17.57066462948816,0.03739130434782609,5.0
28,theellenshow,87,10000.0,125100000.0,420500.0,0.07,81700.0,4200000000.0,United States,0.0033613109512390087,6.090000000000001,High,Mega (100M+),Low,79.93605115907275,0.0087,20.0
29,realmadrid,90,6900.0,123400000.0,996200.0,0.48,588300.0,6800000000.0,Spain,0.00807293354943274,43.199999999999996,High,Mega (100M+),Low,55.91572123176661,0.013043478260869565,2.0
30,champagnepapi,85,5200.0,119600000.0,1700000.0,1.1,1300000.0,9000000000.0,Netherlands,0.014214046822742474,93.50000000000001,High,Mega (100M+),Medium,43.47826086956522,0.016346153846153847,1.0
